Generated 1 QTSP experiment case(s).
QTSP uses one windowed flow; each wrapped Q-datagram carries (flow, seq, pair) metadata with the traveling Werner-pair qubit.
Send rate defaults to chi * 3 * (1 - w) / 2 * transmissivity.
Detection probability defaults to detector_a_p * fidelity_from_werner(w).
case |   flow |     simT |   sent |   recv |  acked |  failed | timeout |  late | unacked | window |      T_W | winSamp | meanSent |  meanAck | meanTout |  send_rate |      eta |    P_det |  exp_det |   qdelay |   cdelay |        w |   meanTx |  meanRTT |       tp |    meanF
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |   4001 | 1000.000 |   1460 |   1460 |   1064 |     396 |     391 |     0 |       5 |      5 | 10.00000 |     100 | 14.60000 | 10.64000 | 3.910000 |   6.330430 | 0.562705 | 0.731250 | 4.629127 | 1.000000 | 0.000000 | 0.750000 | 1.000000 | 1.000000 | 1.064000 | 0.812500

Case 1 source time-window samples:
 idx |    start |      end |  sent | acked |  tout |  late |       tp |  meanRTT
  68 | 670.0000 | 680.0000 |    18 |    13 |     5 |     0 | 1.300000 | 1.000000
  69 | 680.0000 | 690.0000 |     7 |     4 |     3 |     0 | 0.400000 | 1.000000
  70 | 690.0000 | 700.0000 |    16 |    13 |     3 |     0 | 1.300000 | 1.000000
  71 | 700.0000 | 710.0000 |    17 |    13 |     4 |     0 | 1.300000 | 1.000000
  72 | 710.0000 | 720.0000 |    19 |    15 |     4 |     0 | 1.500000 | 1.000000
  73 | 720.0000 | 730.0000 |     8 |     3 |     5 |     0 | 0.300000 | 1.000000
  74 | 730.0000 | 740.0000 |    21 |    17 |     4 |     0 | 1.700000 | 1.000000
  75 | 740.0000 | 750.0000 |    11 |     7 |     4 |     0 | 0.700000 | 1.000000
  76 | 750.0000 | 760.0000 |     8 |     5 |     3 |     0 | 0.500000 | 1.000000
  77 | 760.0000 | 770.0000 |    11 |     6 |     5 |     0 | 0.600000 | 1.000000
  78 | 770.0000 | 780.0000 |    22 |    18 |     4 |     0 | 1.800000 | 1.000000
  79 | 780.0000 | 790.0000 |    11 |     8 |     3 |     0 | 0.800000 | 1.000000
  80 | 790.0000 | 800.0000 |    23 |    18 |     5 |     0 | 1.800000 | 1.000000
  81 | 800.0000 | 810.0000 |    11 |     7 |     4 |     0 | 0.700000 | 1.000000
  82 | 810.0000 | 820.0000 |     7 |     3 |     4 |     0 | 0.300000 | 1.000000
  83 | 820.0000 | 830.0000 |    11 |     8 |     3 |     0 | 0.800000 | 1.000000
  84 | 830.0000 | 840.0000 |    10 |     5 |     5 |     0 | 0.500000 | 1.000000
  85 | 840.0000 | 850.0000 |    15 |    11 |     4 |     0 | 1.100000 | 1.000000
  86 | 850.0000 | 860.0000 |    29 |    25 |     4 |     0 | 2.500000 | 1.000000
  87 | 860.0000 | 870.0000 |    13 |    10 |     3 |     0 | 1.000000 | 1.000000
  88 | 870.0000 | 880.0000 |    13 |     8 |     5 |     0 | 0.800000 | 1.000000
  89 | 880.0000 | 890.0000 |    19 |    15 |     4 |     0 | 1.500000 | 1.000000
  90 | 890.0000 | 900.0000 |    14 |    11 |     3 |     0 | 1.100000 | 1.000000
  91 | 900.0000 | 910.0000 |    19 |    15 |     4 |     0 | 1.500000 | 1.000000
  92 | 910.0000 | 920.0000 |    11 |     7 |     4 |     0 | 0.700000 | 1.000000
  93 | 920.0000 | 930.0000 |    12 |     8 |     4 |     0 | 0.800000 | 1.000000
  94 | 930.0000 | 940.0000 |    21 |    18 |     3 |     0 | 1.800000 | 1.000000
  95 | 940.0000 | 950.0000 |    15 |    12 |     3 |     0 | 1.200000 | 1.000000
  96 | 950.0000 | 960.0000 |    13 |     8 |     5 |     0 | 0.800000 | 1.000000
  97 | 960.0000 | 970.0000 |    16 |    12 |     4 |     0 | 1.200000 | 1.000000
  98 | 970.0000 | 980.0000 |    14 |    10 |     4 |     0 | 1.000000 | 1.000000
  99 | 980.0000 | 990.0000 |    20 |    16 |     4 |     0 | 1.600000 | 1.000000
 100 | 990.0000 | 1000.000 |    22 |    20 |     2 |     0 | 2.000000 | 1.000000
