QTCP Werner window-size and Werner-parameter update.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 1 / n
  delta(n) = 0.05 / (n + 50)^0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  45 | 0.022222 | 0.025253 |  22.086940 |     23 | 0.627189 | 2.400000 | 3.965000 | 4.010000 | 3.480000 |  10.493839 |      793 |   1218 |     402 |  22.052162 | 0.860385
  46 | 0.021739 | 0.025213 |  22.052162 |     23 | 0.860385 | 2.400000 | 2.835000 | 2.330000 | 3.375000 | -20.723207 |      567 |    708 |     135 |  22.042706 | 0.409880
  47 | 0.021277 | 0.025174 |  22.042706 |     23 | 0.409880 | 2.400000 | 2.355000 | 2.375000 | 2.065000 |   6.157118 |      471 |    919 |     425 |  22.043663 | 0.540883
  48 | 0.020833 | 0.025135 |  22.043663 |     23 | 0.540883 | 2.400000 | 3.200000 | 3.845000 | 2.845000 |  19.892250 |      640 |   1076 |     417 |  22.026997 | 0.955305
  49 | 0.020408 | 0.025097 |  22.026997 |     23 | 0.955305 | 2.400000 | 1.015000 | 0.405000 | 1.505000 | -21.914823 |      203 |    227 |      21 |  22.055262 | 0.508064
  50 | 0.020000 | 0.025059 |  22.055262 |     23 | 0.508064 | 2.400000 | 3.140000 | 3.100000 | 2.685000 |   8.280339 |      628 |   1074 |     423 |  22.040462 | 0.673670
  51 | 0.019608 | 0.025022 |  22.040462 |     23 | 0.673670 | 2.400000 | 4.590000 | 4.395000 | 4.325000 |   1.398770 |      918 |   1323 |     385 |  21.997521 | 0.701097
  52 | 0.019231 | 0.024985 |  21.997521 |     22 | 0.701097 | 2.400000 | 4.175000 | 4.555000 | 4.020000 |  10.706408 |      835 |   1225 |     369 |  21.963386 | 0.906990
  53 | 0.018868 | 0.024948 |  21.963386 |     22 | 0.906990 | 2.400000 | 2.045000 | 1.490000 | 2.455000 | -19.339841 |      409 |    472 |      58 |  21.970084 | 0.542087
  54 | 0.018519 | 0.024912 |  21.970084 |     22 | 0.542087 | 2.400000 | 3.000000 | 3.330000 | 2.805000 |  10.536935 |      600 |   1021 |     399 |  21.958973 | 0.737215
